date,unity,n
2020-06-27,pri,1889.0
2020-06-27,sai,339.0
2020-06-28,ent,524.0
2020-06-28,evo,1673.0
2020-06-28,int,1695.0
2020-06-28,pri,1933.0
2020-06-28,sai,303.0
2020-06-29,ent,1240.0
2020-06-29,evo,3490.0
2020-06-29,int,3585.0
2020-06-29,pri,4037.0
2020-06-29,sai,707.0
2020-06-30,ent,1178.0
2020-06-30,evo,3281.0
2020-06-30,int,3338.0
2020-06-30,pri,3737.0
2020-06-30,sai,709.0
2020-07-01,ent,0.0
2020-07-01,evo,0.0
2020-07-01,int,0.0
2020-07-01,pri,0.0
2020-07-01,sai,0.0
2020-07-02,ent,0.0
2020-07-02,evo,0.0
2020-07-02,int,0.0
2020-07-02,pri,0.0
2020-07-02,sai,0.0
2020-07-03,ent,1.0
2020-07-03,evo,2.0
2020-07-03,int,3.0
2020-07-03,pri,3.0
2020-07-03,sai,1.0
2020-07-04,ent,330.0
2020-07-04,evo,838.0
2020-07-04,int,862.0
2020-07-04,pri,935.0
2020-07-04,sai,164.0
2020-07-05,ent,698.0
2020-07-05,evo,2458.0
2020-07-05,int,2521.0
2020-07-05,pri,2839.0
2020-07-05,sai,375.0
2020-07-06,ent,492.0
2020-07-06,evo,1598.0
2020-07-06,int,1649.0
2020-07-06,pri,1803.0
2020-07-06,sai,276.0
2020-07-07,ent,1172.0
2020-07-07,evo,3374.0
2020-07-07,int,3453.0
2020-07-07,pri,3822.0
2020-07-07,sai,706.0
2020-07-08,ent,927.0
2020-07-08,evo,2496.0
2020-07-08,int,2656.0
2020-07-08,pri,2804.0
2020-07-08,sai,581.0
2020-07-09,ent,454.0
2020-07-09,evo,1292.0
2020-07-09,int,1369.0
2020-07-09,pri,1446.0
2020-07-09,sai,275.0
2020-07-10,ent,556.0
2020-07-10,evo,1528.0
2020-07-10,int,1600.0
2020-07-10,pri,1708.0
2020-07-10,sai,330.0
2020-07-11,ent,270.0
2020-07-11,evo,730.0
2020-07-11,int,779.0
2020-07-11,pri,823.0
2020-07-11,sai,140.0
2020-07-12,ent,1343.0
2020-07-12,evo,3419.0
2020-07-12,int,3739.0
2020-07-12,pri,3928.0
2020-07-12,sai,764.0
2020-07-13,ent,1363.0
2020-07-13,evo,3799.0
2020-07-13,int,3997.0
2020-07-13,pri,4246.0
2020-07-13,sai,820.0
2020-07-14,ent,1124.0
2020-07-14,evo,3320.0
2020-07-14,int,3477.0
2020-07-14,pri,3747.0
2020-07-14,sai,688.0
2020-07-15,ent,1108.0
2020-07-15,evo,3243.0
2020-07-15,int,3417.0
2020-07-15,pri,3682.0
2020-07-15,sai,688.0
